stock_code,recency,frequency,total_gross_profit,rfm_score,total_quantity,total_revenue,gross_profit_per_product,gross_profit_margin,quantity->1,2006-profit,2006-YoY,quantity->2,2007-profit,2007-YoY,quantity->3,2013-profit,2013-YoY,quantity->4,2014-profit,2014-YoY,quantity->5,2015-profit,2015-YoY,quantity->6,2016-profit,2016-YoY,quantity->7,2017-profit,2017-YoY,quantity->8,2018-profit,2018-YoY,quantity->9,2019-profit,2019-YoY,quantity->10,2020-profit,2020-YoY,quantity->11,2021-profit,2021-YoY,quantity->12,2022-profit,2022-YoY,quantity->13,2023-profit,2023-YoY,quantity->14,2024-profit,2024-YoY,quantity->15,2025-profit,2025-YoY,gross_profit_percentage,cumulative_profit,cumulative_profit_percentage,rfm_score_score,revenue_score,quantity_score,gross_profit_per_product_score,gross_profit_percentage_score,final_score
9421014525302,2025,15,789645,555,345377,2346550,2.29,33.65%,47,121,0%,18,19,-84.3%,23164,15855,83347.37%,33162,21250,34.03%,67062,89923,323.17%,29929,52950,-41.12%,11269,29710,-43.89%,10975,29377,-1.12%,26825,52847,79.89%,28597,36157,-31.58%,40008,106691,195.08%,43601,211786,98.5%,17046,89476,-57.75%,9829,38065,-57.46%,3845,15418,15318%,31.73,789645,31.73%,1,1,1,37,1,41
9414453905507,2025,14,97524,555,28858,213076,3.38,45.77%,4,18,0%,0,0,-100%,568,1245,NULL,851,1883,51.24%,1561,4638,146.31%,1489,4948,6.68%,2572,8679,75.4%,3990,13096,50.89%,2335,7100,-45.78%,3305,7816,10.08%,3341,8505,8.82%,2382,11163,31.25%,3157,14746,32.1%,2205,8904,-39.62%,1098,4783,4683%,3.92,1112509,44.71%,1,5,13,27,4,50
9310797257220,2025,15,114008,555,75740,545874,1.51,20.89%,5,18,0%,27,68,277.78%,7011,8371,12210.29%,8624,11940,42.64%,11182,16835,41%,9232,12865,-23.58%,6842,12819,-0.36%,8423,5811,-54.67%,8672,11825,103.49%,7853,10634,-10.07%,2312,5522,-48.07%,2095,6942,25.72%,1818,4424,-36.27%,1239,4140,-6.42%,405,1794,1694%,4.58,903653,36.31%,1,3,7,48,2,61
9421902692017,2025,15,111332,555,108683,555237,1.02,20.05%,41,72,0%,80,45,-37.5%,28410,22456,49802.22%,26673,12808,-42.96%,14681,12948,1.09%,6128,7801,-39.75%,3043,5376,-31.09%,2921,6292,17.04%,3953,7898,25.52%,7921,7858,-0.51%,6111,6083,-22.59%,3555,9366,53.97%,2934,7468,-20.26%,1611,3577,-52.1%,621,1284,1184%,4.47,1014985,40.79%,1,2,4,60,3,70
9414453904432,2025,13,57723,554,20420,122068,2.83,47.29%,0,0,NULL,0,0,NULL,97,229,NULL,161,368,60.7%,169,323,-12.23%,87,207,-35.91%,85,197,-4.83%,19262,55105,27872.08%,116,374,-99.32%,86,219,-41.44%,71,146,-33.33%,107,217,48.63%,97,186,-14.29%,68,126,-32.26%,14,26,-74%,2.32,1334428,53.63%,5,8,21,29,7,70
9421902692123,2025,13,53638,554,36868,162230,1.45,33.06%,7,22,0%,0,0,-100%,3196,1101,NULL,3858,3430,211.53%,2951,4889,42.54%,3643,5519,12.89%,2814,5158,-6.54%,2954,6600,27.96%,9420,12907,95.56%,4523,4410,-65.83%,1185,2633,-40.29%,2189,6610,151.04%,0,0,-100%,23,75,NULL,105,284,184%,2.16,1388066,55.78%,5,7,9,49,8,78
9421014525500,2025,15,39480,553,33468,120401,1.18,32.79%,2,5,0%,24,15,200%,1644,620,4033.33%,2773,1886,204.19%,3206,3319,75.98%,2257,2773,-16.45%,1360,1957,-29.43%,1771,2649,35.36%,1644,2242,-15.36%,6521,3808,69.85%,4174,4242,11.4%,3377,5805,36.85%,2598,6088,4.88%,1654,3126,-48.65%,463,945,845%,1.59,1427546,57.37%,8,9,11,56,9,93
8725000639679,2025,14,28675,553,10822,83104,2.65,34.5%,4,9,0%,0,0,-100%,1259,820,NULL,792,1135,38.41%,1366,2135,88.11%,567,1319,-38.22%,781,1976,49.81%,891,2036,3.04%,603,1436,-29.47%,400,1151,-19.85%,281,611,-46.92%,399,1742,185.11%,2257,7867,351.61%,950,5219,-33.66%,272,1219,1119%,1.15,1456221,58.52%,8,15,30,32,10,95
275,2025,15,85070,554,225292,283995,0.38,29.95%,23,2,0%,22,2,0%,7755,1662,83000%,8035,2181,31.23%,20085,1808,-17.1%,29345,2640,46.02%,43405,8223,211.48%,25129,10804,31.39%,22641,13371,23.76%,16934,9987,-25.31%,13413,8224,-17.65%,12344,7725,-6.07%,12438,7771,0.6%,11113,7825,0.69%,2610,2845,2745%,3.42,1197579,48.13%,5,4,2,83,5,99
9421902692437,2025,11,79126,544,28657,184341,2.76,42.92%,0,0,NULL,0,0,NULL,18,75,NULL,24,43,-42.67%,0,0,-100%,0,0,NULL,837,2189,NULL,4168,11722,435.5%,7754,16752,42.91%,6801,12580,-24.9%,1891,4593,-63.49%,3446,13549,194.99%,2006,9549,-29.52%,1333,6193,-35.15%,379,1881,1781%,3.18,1276705,51.31%,51,6,14,31,6,108
9421902692925,2025,13,24318,553,17988,76118,1.35,31.95%,0,0,NULL,0,0,NULL,1864,832,NULL,2787,2649,218.39%,2436,3786,42.92%,2159,2900,-23.4%,1584,2126,-26.69%,1441,2593,21.97%,2302,3192,23.1%,1645,1527,-52.16%,343,801,-47.54%,676,2175,171.54%,330,885,-59.31%,369,789,-10.85%,52,63,-37%,0.98,1506164,60.53%,8,18,23,54,12,115
9421901704841,2025,13,22860,553,3099,112563,7.38,20.31%,0,0,NULL,0,0,NULL,269,508,NULL,363,1854,264.96%,317,2510,35.38%,210,2450,-2.39%,144,1777,-27.47%,121,1599,-10.02%,187,1748,9.32%,514,1707,-2.35%,259,1820,6.62%,355,2581,41.81%,189,2081,-19.37%,141,1714,-17.64%,30,511,411%,0.92,1552709,62.4%,8,10,67,22,14,121
5555001340105,2024,13,14494,552,10191,101910,1.42,14.22%,0,0,NULL,1,2,NULL,176,321,15950%,110,173,-46.11%,509,929,436.99%,845,1168,25.73%,820,1128,-3.42%,1656,2315,105.23%,1695,2199,-5.01%,1587,2184,-0.68%,935,1287,-41.07%,810,1115,-13.36%,984,1558,39.73%,63,115,-92.62%,0,0,-100%,0.58,1777304,71.42%,12,12,35,50,27,136
9416323109459,2025,15,14658,552,25352,67793,0.58,21.62%,1,2,0%,4,4,100%,2187,1425,35525%,3169,2837,99.09%,3293,1757,-38.07%,2921,604,-65.62%,3051,787,30.3%,3668,1930,145.24%,3178,1939,0.47%,1714,935,-51.78%,688,634,-32.19%,504,594,-6.31%,500,591,-0.51%,321,404,-31.64%,153,215,115%,0.59,1748230,70.25%,12,22,17,72,23,146
5333333123401,2025,14,14580,552,100190,100190,0.15,14.55%,0,0,NULL,17,3,NULL,2434,438,14500%,1019,182,-58.45%,4864,876,381.32%,8378,1158,32.19%,11508,1580,36.44%,18479,2432,53.92%,13683,1883,-22.57%,7000,963,-48.86%,5285,727,-24.51%,10464,1440,98.07%,6168,937,-34.93%,3914,705,-24.76%,6977,1256,1156%,0.59,1762810,70.84%,12,13,5,93,23,146
9416216057324,2025,14,14469,552,24803,66673,0.58,21.7%,0,0,NULL,1,1,NULL,990,611,61000%,1559,1005,64.48%,1433,893,-11.14%,2102,701,-21.5%,2985,679,-3.14%,3662,1639,141.38%,2982,1396,-14.83%,2515,1250,-10.46%,1517,1131,-9.52%,1679,1295,14.5%,1308,1395,7.72%,1377,1681,20.5%,693,792,692%,0.58,1791773,72%,12,23,18,72,27,152
9310797257237,2025,14,14002,552,4580,64597,3.06,21.68%,1,5,0%,0,0,-100%,450,1114,NULL,576,1609,44.43%,573,1787,11.06%,554,1713,-4.14%,624,2478,44.66%,538,716,-71.11%,459,1278,78.49%,230,639,-50%,129,476,-25.51%,161,736,54.62%,125,597,-18.89%,109,559,-6.37%,51,295,195%,0.56,1805775,72.57%,12,24,60,28,29,153
9421902692000,2025,14,13532,552,13614,46324,0.99,29.21%,0,0,NULL,3,2,NULL,1225,415,20650%,1406,950,128.92%,1578,1570,65.26%,647,734,-53.25%,486,729,-0.68%,605,867,18.93%,782,1010,16.49%,2737,1653,63.66%,1625,1440,-12.89%,1215,1282,-10.97%,729,1799,40.33%,448,839,-53.36%,128,242,142%,0.54,1819307,73.11%,12,32,24,62,30,160
9421901704827,2025,14,10751,552,954,58842,11.27,18.27%,0,0,NULL,1,7,NULL,174,1438,20442.86%,225,945,-34.28%,160,1254,32.7%,74,1146,-8.61%,36,696,-39.27%,34,802,15.23%,33,669,-16.58%,78,788,17.79%,28,585,-25.76%,35,634,8.38%,36,828,30.6%,27,647,-21.86%,13,312,212%,0.43,1940767,77.99%,12,25,79,15,40,171
9000056100007,2025,10,15184,542,38409,106779,0.4,14.22%,0,0,NULL,0,0,NULL,14,17,NULL,0,0,-100%,0,0,NULL,0,0,NULL,2833,2703,NULL,3774,3635,34.48%,3114,3000,-17.47%,1635,1575,-47.5%,4882,709,-54.98%,7853,1081,52.47%,4494,698,-35.43%,3711,668,-4.3%,6099,1098,998%,0.61,1704188,68.48%,52,11,8,82,21,174
9421902692901,2025,14,12753,552,9297,34914,1.37,36.52%,0,0,NULL,3,2,NULL,56,26,1200%,340,231,788.46%,215,167,-27.71%,347,403,141.32%,245,339,-15.88%,164,254,-25.07%,360,644,153.54%,2252,2301,257.3%,885,951,-58.67%,1404,1755,84.54%,1187,2222,26.61%,1345,2621,17.96%,494,837,737%,0.51,1870854,75.18%,12,42,38,53,33,178
9200129100112,2024,13,8445,552,5266,57926,1.6,14.58%,0,0,NULL,2,4,NULL,217,436,10800%,93,187,-57.11%,334,671,258.82%,626,953,42.03%,810,1226,28.65%,806,1220,-0.49%,736,1114,-8.69%,608,920,-17.41%,300,454,-50.65%,264,400,-11.89%,310,539,34.75%,160,321,-40.45%,0,0,-100%,0.34,2052920,82.5%,12,26,53,47,52,190
5555001340082,2024,11,11719,542,11755,76835,1,15.25%,0,0,NULL,4,4,NULL,1028,1127,28075%,531,582,-48.36%,2302,2522,333.33%,3374,2802,11.1%,1364,1125,-59.85%,0,0,-100%,0,0,NULL,663,730,NULL,1270,1398,91.51%,705,776,-44.49%,427,526,-32.22%,87,127,-75.86%,0,0,-100%,0.47,1918524,77.1%,52,17,26,61,38,194
9421022800743,2025,4,23685,513,5482,44900,4.32,52.75%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,1133,5496,NULL,1875,8851,61.04%,1845,7376,-16.66%,629,1962,1862%,0.95,1529849,61.48%,77,33,51,24,13,198
1,2023,9,21691,433,10557,55029,2.05,39.42%,0,0,NULL,0,0,NULL,10355,21208,NULL,150,403,-98.1%,0,0,-100%,15,28,NULL,10,4,-85.71%,13,1,-75%,6,30,2900%,5,16,-46.67%,0,0,-100%,2,-1,NULL,1,2,-300%,0,0,-100%,0,0,NULL,0.87,1618720,65.05%,82,27,31,42,17,199
9200129100082,2024,11,11492,542,11558,74624,0.99,15.4%,0,0,NULL,1,1,NULL,1606,1759,175800%,654,716,-59.3%,1748,1915,167.46%,3756,3117,62.77%,1155,953,-69.43%,0,0,-100%,0,0,NULL,485,534,NULL,826,909,70.22%,654,720,-20.79%,583,737,2.36%,90,131,-82.23%,0,0,-100%,0.46,1930016,77.56%,52,19,27,62,39,199
5388887655670,2025,14,13009,552,10890,18329,1.19,70.97%,1,1,0%,0,0,-100%,338,186,NULL,629,344,84.95%,734,402,16.86%,390,218,-45.77%,256,152,-30.28%,254,146,-3.95%,179,87,-40.41%,370,201,131.03%,2408,3381,1582.09%,3230,4895,44.78%,1252,1851,-62.19%,602,787,-57.48%,247,358,258%,0.52,1832316,73.63%,12,73,29,55,31,200
9416216283068,2025,14,8374,552,10232,40887,0.82,20.48%,0,0,NULL,2,1,NULL,418,368,36700%,598,286,-22.28%,667,210,-26.57%,800,359,70.95%,954,738,105.57%,1516,1172,58.81%,1121,863,-26.37%,720,661,-23.41%,503,386,-41.6%,752,579,50%,684,784,35.41%,911,1150,46.68%,586,817,717%,0.34,2061294,82.83%,12,37,34,67,52,202
9200129100259,2025,13,7187,552,1944,48600,3.7,14.79%,0,0,NULL,0,0,NULL,92,420,NULL,56,256,-39.05%,193,881,244.14%,289,1011,14.76%,328,1128,11.57%,268,922,-18.26%,192,661,-28.31%,148,509,-23%,131,451,-11.39%,100,344,-23.73%,80,298,-13.37%,47,215,-27.85%,20,91,-9%,0.29,2122706,85.3%,12,30,74,25,61,202
70330600065,2025,14,9758,552,9224,27986,1.06,34.87%,0,0,NULL,3,3,NULL,248,135,4400%,264,275,103.7%,431,448,62.91%,715,744,66.07%,843,877,17.88%,1143,1189,35.58%,1178,1164,-2.1%,993,948,-18.56%,712,740,-21.94%,872,921,24.46%,835,870,-5.54%,650,912,4.83%,337,532,432%,0.39,1980694,79.6%,12,52,39,58,44,205
88,2019,8,25625,333,1121,70465,22.86,36.37%,5,100,0%,0,0,-100%,65,1285,NULL,304,5100,296.89%,175,3620,-29.02%,129,1400,-61.33%,202,4560,225.71%,133,5240,14.91%,108,4320,-17.56%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,1.03,1481846,59.55%,87,21,78,11,11,208
9300752020181,2025,6,17201,522,1660,36225,10.36,47.48%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,23,270,NULL,95,985,264.81%,763,7597,671.27%,421,4592,-39.56%,236,2710,-40.98%,122,1047,947%,0.69,1657561,66.61%,61,40,75,17,19,212
9416216284102,2025,14,7442,552,7133,35497,1.04,20.96%,0,0,NULL,1,2,NULL,431,683,34050%,718,1455,113.03%,632,1240,-14.78%,513,581,-53.15%,609,263,-54.73%,1011,435,65.4%,805,346,-20.46%,569,529,52.89%,437,183,-65.41%,697,542,196.17%,285,379,-30.07%,276,493,30.08%,149,311,211%,0.3,2100739,84.42%,12,41,43,59,58,213
5555001340204,2025,13,6950,552,27047,40845,0.26,17.02%,0,0,NULL,0,0,NULL,1,4,NULL,17526,3200,79900%,8794,1606,-49.81%,40,110,-93.15%,44,121,10%,107,294,142.98%,77,212,-27.89%,84,231,8.96%,90,248,7.36%,70,193,-22.18%,101,318,64.77%,89,325,2.2%,24,88,-12%,0.28,2136756,85.87%,12,38,15,89,63,217
78,2025,7,9983,522,77566,77566,0.13,12.87%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,5884,665,NULL,13959,1815,172.93%,11356,1476,-18.68%,13264,1724,16.8%,14326,1862,8%,11711,1522,-18.26%,7066,919,819%,0.4,1970936,79.2%,61,16,6,94,42,219
95,2019,7,22350,323,671,49190,33.31,45.44%,0,0,NULL,0,0,NULL,33,-330,NULL,18,220,-166.67%,32,860,290.91%,138,5010,482.56%,195,6390,27.54%,109,4360,-31.77%,146,5840,33.94%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.9,1575059,63.3%,92,29,81,3,15,220
9421902692765,2025,6,14684,522,5221,29271,2.81,50.17%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,607,584,NULL,1264,3592,515.07%,1753,6335,76.36%,999,2925,-53.83%,412,926,-68.34%,186,322,222%,0.59,1733572,69.67%,61,50,57,30,23,221
9300605030411,2025,14,8924,552,217339,21968,0.04,40.62%,0,0,NULL,21,1,NULL,2667,111,11000%,4177,164,47.75%,6745,285,73.78%,9116,377,32.28%,11421,464,23.08%,138033,5535,1092.89%,15384,629,-88.64%,7800,321,-48.97%,5167,199,-38.01%,7124,297,49.25%,5726,223,-24.92%,2844,166,-25.56%,1114,152,52%,0.36,2035866,81.81%,12,61,3,95,50,221
