CODE,DESCRIPTION,DEPARTMENT,STANDARDCOST,LASTCOST,AVERAGECOST,PRICE1,PRICE4,SUPPLIER,DISCONTINUE
1,returns surcharge,1,4.4,0.4312,0.4312,0.0,0.0,10.0,False
2,FGL,1,4.5,3.7319,3.7313,6.0,0.0,10.0,True
3,Promo bag,13,2.0,2.0,2.0,3.0,0.0,0.0,True
4,Glass Wine,14,3.0,3.0,3.0,6.0,10.0,0.0,True
5,Cruiser Yellow,14,3.0,3.0,3.0,5.0,7.0,18.0,True
6,CONE,15,0.0,0.1084,0.1084,0.0,0.0,15.0,False
7,Roster16,15,14.5,11.4348,11.4348,18.0,0.0,0.0,True
8,Fuel unleaded,13,2.79,2.5416,2.5415,0.0,0.0,141.0,False
9,FGS,1,2.1,2.1739,2.1633,4.0,0.0,0.0,True
10,Jug 1.5l,13,5.0,4.1284,4.4139,10.0,10.0,14.0,False
11,Chicken16,15,14.5,11.213,11.213,18.0,0.0,0.0,True
12,BTK,1,3.0,3.0,3.0,4.0,0.0,0.0,True
13,Lemonade,18,1.66,1.4335,1.4335,2.5,0.0,0.0,True
14,mop with handle,13,5.0,7.8261,7.8261,0.0,0.0,3.0,False
15,Tequila Silver Shots,21,3.0,3.0,3.0,5.0,10.0,0.0,False
16,Rum375ml,1,32.0,32.0,32.0,39.0,0.0,0.0,True
17,Fika 70g,12,2.0,1.826,1.826,3.0,3.0,45.0,False
18,kool shake chocolate,15,0.74,0.7345,0.7345,1.2,0.0,15.0,False
19,Bounty Rum Shots,21,2.0,2.0,2.0,3.0,5.0,0.0,False
20,Fabuloso,13,6.15,5.9633,5.9633,7.0,7.0,97.0,False
21,Roasted Honey Peanut,12,2.2,2.1739,2.1739,3.2,4.0,0.0,False
22,Earpiece,13,4.5,3.6697,3.6697,8.0,0.0,0.0,True
23,Baigan,24,0.8,0.8,0.8,1.0,0.0,0.0,True
24,Brown Paper Bag,13,0.0285,0.0248,0.0248,0.5,0.0,12.0,False
25,Besan1kg,24,1.5,0.8696,0.8696,3.0,3.0,0.0,True
26,Choc a Mite,15,0.838,0.8379,0.8379,1.2,0.0,15.0,True
27,USB Flash Drive,13,15.0,15.0,15.0,12.0,0.0,0.0,True
28,MG chips,1,3.5,3.5,3.5,4.2,0.0,0.0,True
29,Tea,3,0.0,0.0901,0.0901,1.0,2.0,0.0,False
30,Coffee,18,0.5,0.8142,0.838,2.0,2.0,0.0,False
31,Cup Ice,18,0.8,0.8,0.8,1.0,2.0,12.0,True
