Co./Last Name,Date,Invoice,StockCode,PurCat,Quantity,UnitCost,Discount,LineTotal,TaxLabel,TaxAmount
oceanic,17/06/1999,010114814,78,1,540.56,0.8486,0.0,500.0048,VAT9,41.28
MH,01/01/2009,1333492,9421902692017,1,480.0,3.1522,0.0,1740.019,VAT9,143.67
MH,01/01/2009,1333492,9421014525302,1,360.0,3.3623,0.0,1391.9945,VAT9,114.94
CMC,01/01/2009,960578,9310797257220,1,200.0,3.1391,0.0,722.0,VAT9,59.61
CMC,01/01/2009,960578,9310797257237,1,10.0,6.278,0.0,72.2,VAT9,5.96
Legends Distributors,21/10/2011,15568,302,1,10.0,1.635,0.0,18.8025,VAT9,1.55
Legends Distributors,21/10/2011,15568,5555001340082,1,10.0,4.904,0.0,56.396,VAT9,4.66
New World,20/04/2013,,9421014525302,1,240.0,3.5242,0.3722,930.0,VAT9,76.79
New World,20/04/2013,,9421902692017,1,360.0,3.3182,0.0,1314.0,VAT9,108.5
New World,20/04/2013,,9421902692123,1,48.0,2.3864,0.0,126.0,VAT9,10.4
New World,20/04/2013,,9421902692925,1,48.0,2.3864,0.0,126.0,VAT9,10.4
New World,20/04/2013,,9310797257220,1,100.0,3.0682,0.0,337.5,VAT9,27.87
New World,20/04/2013,,9310797246439,1,20.0,2.8182,0.0,62.0,VAT9,5.12
Pinto Industries,24/04/2013,30154,329,1,15.0,11.3067,0.0,195.04,VAT9,16.1
Pinto Industries,24/04/2013,30154,254,1,100.0,0.0565,0.0,6.4975,VAT9,0.54
Fisheries,25/04/2013,1011,263,1,24.0,0.3623,0.0,10.0,VAT9,0.83
Downtown Supermarket,25/04/2013,3912,9310797257220,1,20.0,2.9348,0.0,67.5,VAT9,5.57
Downtown Supermarket,25/04/2013,3912,9310797257220,1,20.0,2.9348,0.0,67.5,VAT9,5.57
Legends Distributors,25/04/2013,8734,302,1,20.0,1.6348,0.0,37.6,VAT9,3.1
Legends Distributors,25/04/2013,8734,9200129100082,1,20.0,4.9043,0.0,112.8,VAT9,9.31
Legends Distributors,25/04/2013,8734,5333333123401,1,20.0,0.8174,0.0,18.8,VAT9,1.55
Legends Distributors,25/04/2013,8734,5555001340082,1,10.0,4.9043,0.0,56.4,VAT9,4.66
Ashabhai,25/04/2013,i311834,9300605109568,1,48.0,1.3672,0.0,75.47,VAT9,6.23
Ashabhai,25/04/2013,i311834,317,1,6.0,2.3087,0.0,15.93,VAT9,1.32
Ashabhai,25/04/2013,i311834,83,1,6.0,3.4594,0.0,23.87,VAT9,1.97
Coca Cola,25/04/2013,3010042072,1220000061545,1,15.0,1.7391,0.0,30.0,VAT9,2.48
Coca Cola,25/04/2013,3010042072,9416216001464,1,24.0,1.1177,0.0,30.85,VAT9,2.55
Coca Cola,25/04/2013,3010042072,9416216001723,1,24.0,1.1177,0.0,30.85,VAT9,2.55
Coca Cola,25/04/2013,3010042072,9416216057324,1,24.0,1.3823,0.0,38.15,VAT9,3.15
Coca Cola,25/04/2013,3010042072,9416216283068,1,12.0,1.971,0.0,27.2,VAT9,2.25
Coca Cola,25/04/2013,3010042072,9416216284102,1,16.0,2.4163,0.0,44.46,VAT9,3.67
Coca Cola,25/04/2013,3010042072,9416216284157,1,8.0,2.4163,0.0,22.23,VAT9,1.84
Coca Cola,25/04/2013,3010042072,632565000036,1,12.0,1.8072,0.0,24.94,VAT9,2.06
Coca Cola,25/04/2013,3010042072,9416216002768,1,12.0,3.1703,0.0,43.75,VAT9,3.61
Downtown Supermarket,25/04/2013,3917,9310797257220,1,20.0,2.9348,0.0,67.5,VAT9,5.57
Downtown Supermarket,25/04/2013,3917,9310797257237,1,10.0,5.8696,0.0,67.5,VAT9,5.57
Downtown Supermarket,25/04/2013,3917,311,1,5.0,6.087,0.0,35.0,VAT9,2.89
MH,25/04/2013,201302,9421902692017,1,240.0,3.1522,0.0,870.0,VAT9,71.83
MH,25/04/2013,201302,9421014525302,1,120.0,3.3623,0.0,464.0,VAT9,38.31
Market,26/04/2013,1124,223,1,24.0,0.7971,0.0,22.0,VAT9,1.82
TFL,26/04/2013,5487,1461051648853,1,5.0,4.0435,0.0,23.25,VAT9,1.92
WineShop,26/04/2013,1011,104,1,6.0,0.1739,0.0,1.2,VAT9,0.1
WineShop,26/04/2013,10112,9421014520062,1,4.0,2.6087,0.0,12.0,VAT9,0.99
Motibhai,26/04/2013,118037082,9416323109350,1,8.0,2.3478,0.0,21.6,VAT9,1.78
Ashabhai,26/04/2013,1245,9416542500396,1,5.0,1.8783,0.0,10.8,VAT9,0.89
MH,26/04/2013,201304,1,1,120.0,3.1522,0.0,435.0,VAT9,35.92
MH,26/04/2013,201304,9421902692017,1,240.0,3.1522,0.0,870.0,VAT9,71.83
MH,26/04/2013,201304,9421014525302,1,240.0,3.3623,0.0,928.0,VAT9,76.62
New World,26/04/2013,8200004672,9421902692017,1,600.0,3.1739,0.0,2190.0,VAT9,180.83
New World,26/04/2013,8200004672,9421014525302,1,600.0,3.3696,0.0,2325.0,VAT9,191.97
